loss,accuracy,val_loss,val_accuracy
1.730094075202942,0.39558878540992737,1.6458252668380737,0.39952152967453003
1.5746188163757324,0.4411962628364563,1.5037206411361694,0.48086124658584595
1.4481775760650635,0.5478130578994751,1.3817925453186035,0.6010765433311462
1.3364404439926147,0.6021682024002075,1.2716224193572998,0.6202152967453003
1.2440919876098633,0.6193645000457764,1.1850205659866333,0.6369616985321045
1.1670255661010742,0.6293832063674927,1.121588945388794,0.6411483287811279
1.1059327125549316,0.63700932264328,1.0677787065505981,0.6435406804084778
1.0550256967544556,0.6462056040763855,1.011884331703186,0.6555023789405823
1.0143418312072754,0.6519626379013062,0.9819486141204834,0.6626794338226318
0.9793618321418762,0.6587663292884827,0.9496456980705261,0.6626794338226318
0.9497144222259521,0.6648972034454346,0.9222893714904785,0.6704545617103577
0.9240747690200806,0.6721495389938354,0.8975377678871155,0.6752392053604126
0.902536153793335,0.6761869192123413,0.8780805468559265,0.6788277626037598
0.8839035630226135,0.6803738474845886,0.8668588399887085,0.6842105388641357
0.8688355684280396,0.6853083968162537,0.849722683429718,0.6872009634971619
0.8533036708831787,0.6880747675895691,0.8351936340332031,0.6973684430122375
0.8411681056022644,0.6875513792037964,0.8268916606903076,0.6937798857688904
0.830083966255188,0.6915140151977539,0.8183659315109253,0.6985645890235901
0.8196958899497986,0.6962990760803223,0.805912971496582,0.7087320685386658
0.8104144334793091,0.6978691816329956,0.7999185919761658,0.7135167717933655
0.8016175627708435,0.7013084292411804,0.7912654876708984,0.7129186391830444
0.7941513657569885,0.7041495442390442,0.7933957576751709,0.7117224931716919
0.7873497605323792,0.7062429785728455,0.7835554480552673,0.7129186391830444
0.7816649675369263,0.706691563129425,0.7723236083984375,0.7159090638160706
0.7753936648368835,0.7094579339027405,0.7718417048454285,0.7105262875556946
