Model,Train Time,Test Time,Accuracy,Precision,Recall,F1-Score
ResNet50+imgnet+BP,956.5064859390259,10.053529977798462,0.486244019138756,0.20135822856109253,0.25869007199868976,0.18051967563856053
Vgg16+imgnet+BP,938.0140559673309,12.278995752334595,0.6124401913875598,0.38172274498424075,0.5305825608843849,0.3587837875881263
ResNet50+vggface+BP,938.2090222835541,9.339188814163208,0.4001196172248804,0.125,0.05001495215311005,0.0714438274241777
Vgg16+vggface+BP,939.8961338996887,11.904324769973755,0.7111244019138756,0.5077642732198518,0.6546057041808864,0.5098444578391417
