Model,Train Time,Test Time,Accuracy,Precision,Recall,F1-Score
ResNet50+imgnet+ELM,71.55938267707825,9.336355686187744,0.6154306220095693,0.3713753501977253,0.4783913059266715,0.35771494620076283
Vgg16+imgnet+ELM,69.5554666519165,9.914344310760498,0.6220095693779905,0.4032446756446303,0.5535181647237155,0.4032963588680991
ResNet50+vggface+ELM,67.42852401733398,9.134483337402344,0.6070574162679426,0.37369934681458916,0.48720674630461547,0.3630245723659195
Vgg16+vggface+ELM,68.43922281265259,9.851465940475464,0.7117224880382775,0.5123980538226507,0.6428234980259839,0.522914784007812
